IDCNT,RISK_NATURE_1,RISK_NATURE_2,RISK_NATURE_3,RISK_FAMILY_STRUCT,RISK_ROOMS_NB,RISK_PROT_1,RISK_PROT_2,SURF_HOUSE,SURF_VER,SURF_OUTB,SURF_GR,OPTION_1,OPTION_2,OPTION_3,OPTION_4,OPTION_5,OPTION_6,OPTION_7,OPTION_8,INSEE_CODE,ZONE_1,ZONE_2,ZONE_3,AMOUNT
2000223,PH,FT,2,4,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,69202,M,P,E,0.0
2000300,PH,HO,1,1,5,4,0,10,0,1,1,False,False,False,False,False,False,False,False,57663,G,F,G,0.0
2000381,SH,HO,1,0,7,4,0,13,0,1,1,False,False,False,False,False,False,False,True,56214,C,C,C,0.0
2000930,PH,HO,1,4,4,4,0,10,0,1,3,False,False,False,False,False,False,False,True,64125,D,M,L,0.0
2001460,PH,HO,1,1,4,1,1,8,0,1,1,False,False,False,False,False,False,False,False,59094,E,D,M,0.0
2001719,PH,FO,1,4,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,91228,Q,Q,C,0.0
2001813,PH,HO,1,4,7,1,1,18,0,2,1,False,False,False,False,False,False,True,False,78354,N,M,C,0.0
2002632,PH,FT,2,1,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,59350,P,P,M,0.0
2003190,PH,FT,2,2,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,93031,S,R,C,0.0
2003319,PH,FO,1,3,4,4,0,8,0,0,0,False,False,False,False,False,False,False,False,67363,F,F,E,0.0
2004255,PH,HO,1,3,5,1,1,12,0,1,2,False,False,False,False,False,True,False,False,01915,N,K,H,0.0
2004398,PH,HT,2,4,4,4,0,8,0,1,1,False,False,False,False,False,False,False,True,30253,J,H,P,0.0
2005400,PH,FT,2,3,4,4,0,10,0,0,0,False,False,False,False,False,False,False,False,06088,P,Q,J,0.0
2005413,PH,FT,2,4,5,4,0,12,0,0,0,False,False,False,False,False,False,False,False,75115,R,W,C,0.0
2006459,PH,HO,1,3,4,1,1,8,0,1,1,False,False,False,False,False,False,False,False,32013,D,E,L,0.0
2006483,PH,FO,1,4,5,1,1,9,0,0,0,False,False,False,False,False,False,False,False,44109,G,H,E,484.6513
2006681,PH,FO,5,4,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,83137,K,M,M,0.0
2006770,PH,FT,2,3,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,10387,F,F,E,0.0
2006912,PH,HT,2,1,5,4,0,9,2,0,1,False,False,False,False,False,False,True,False,33449,L,M,K,0.0
2007592,PH,HT,2,3,6,4,0,12,0,1,1,False,False,False,False,False,False,True,False,74094,N,H,C,0.0
2007940,PH,FO,5,4,4,1,1,8,0,0,0,False,False,False,False,False,True,False,False,83137,K,M,M,0.0
2008056,PH,HO,1,1,5,4,0,12,0,1,3,False,False,False,False,False,False,True,True,44052,E,F,E,0.0
2008281,PH,HO,1,4,4,1,1,8,0,1,3,False,False,False,False,False,False,True,False,85049,C,B,H,0.0
2008520,PH,HO,1,1,4,1,0,8,4,1,2,False,False,False,False,True,False,False,True,62276,E,D,J,0.0
2009421,SH,HO,1,0,5,4,0,9,0,1,1,False,False,False,False,False,False,False,True,85163,C,B,H,0.0
2010058,PH,HT,2,4,9,4,0,20,0,0,1,False,False,False,False,False,False,False,False,23176,B,D,K,0.0
2010077,PH,HO,1,4,5,4,0,10,3,2,2,False,False,False,False,False,False,False,False,85178,C,C,H,0.0
2010621,PH,FO,1,3,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,74063,B,C,C,0.0
2010814,PH,FT,2,2,4,1,1,7,0,0,0,False,False,False,False,False,False,False,False,69266,Q,P,E,0.0
2011169,PH,HO,1,1,3,4,0,8,0,1,0,False,False,False,False,False,False,False,False,33063,L,M,K,0.0
2011983,PH,HO,1,4,4,4,0,8,0,1,1,False,False,False,False,False,False,False,False,59014,H,E,M,0.0
2012210,PH,HO,1,2,7,1,1,13,0,3,3,False,False,False,False,False,False,False,True,38442,F,K,C,0.0
2012421,PH,FT,2,3,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,83069,K,M,M,0.0
2012459,PH,HT,2,4,4,4,0,8,0,2,2,False,False,False,False,False,True,False,True,28341,E,E,E,0.0
2012534,PH,HT,2,1,4,1,1,8,0,2,1,False,False,False,False,False,False,False,False,25078,F,E,K,0.0
2012638,PH,HO,1,4,7,1,1,13,0,1,2,False,False,False,False,False,False,False,False,49092,B,D,E,403.56058484
2012669,PH,HO,1,1,5,1,1,10,0,2,1,False,False,False,False,False,False,False,False,71266,C,E,H,0.0
2013123,PH,HO,1,3,5,4,0,9,0,1,1,False,False,False,False,False,False,False,False,22278,E,C,C,0.0
2013694,PH,HO,1,4,5,1,1,14,0,1,2,False,True,False,False,False,True,False,True,76057,G,C,G,0.0
2014694,PH,HO,1,4,5,1,1,10,0,1,3,False,False,False,False,False,False,False,True,64152,E,K,L,0.0
2015441,SH,FO,1,0,2,1,1,3,0,0,0,False,False,False,False,False,False,False,False,73923,C,D,C,0.0
2015883,SH,HO,1,0,2,1,1,4,0,1,1,False,False,False,False,False,True,False,True,25527,F,E,K,0.0
2016891,PH,HO,1,4,6,1,1,12,0,1,1,False,False,False,False,False,False,False,False,59598,N,K,M,0.0
2017630,PH,FT,2,4,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,59350,P,P,M,0.0
2017858,PH,HO,1,4,7,1,1,13,0,1,2,False,False,False,False,False,False,False,True,27059,G,E,E,0.0
2017938,PH,HO,1,3,6,1,1,12,2,1,2,False,False,False,False,False,False,True,False,42147,E,D,J,0.0
2017947,PH,FO,1,4,3,4,0,8,0,0,0,False,False,False,False,False,False,False,False,78158,N,Q,C,0.0
2017964,PH,HO,1,3,4,1,1,8,0,1,1,False,False,False,False,False,False,False,False,42159,E,D,J,0.0
2018256,PH,HO,1,3,5,4,0,12,0,3,2,False,False,False,False,False,False,False,False,31118,J,P,K,0.0
2018499,PH,HO,1,1,4,4,0,8,4,1,2,False,False,False,False,False,False,False,True,87048,D,E,C,0.0
2018539,PH,FO,5,3,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,93013,S,R,C,0.0
2018949,PH,HO,1,3,5,4,0,10,0,1,1,False,False,False,False,False,False,False,False,85194,C,F,H,0.0
2019298,PH,HO,1,3,4,4,0,8,0,1,1,False,False,False,False,False,False,False,False,08174,D,E,L,0.0
2019413,PH,FT,2,1,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,89024,F,H,K,0.0
2019544,PH,HO,1,3,5,4,0,18,0,1,3,False,False,False,False,False,False,False,True,25101,F,E,K,0.0
2020338,PH,FO,5,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,25056,G,M,K,0.0
2021033,PH,FT,2,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,35208,E,E,C,0.0
2021171,PH,HO,1,1,5,4,0,10,0,1,3,False,False,False,False,False,False,False,False,80074,E,F,K,0.0
2021305,PH,HO,1,1,6,1,1,12,0,1,1,False,False,False,False,False,False,False,True,85166,C,F,H,0.0
2021343,PH,HO,1,1,4,4,0,8,0,1,1,False,False,False,False,False,False,False,True,85166,C,F,H,0.0
2022910,PH,FT,2,1,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,63125,B,B,H,0.0
2024494,PH,FO,1,2,4,4,0,8,0,0,0,False,False,False,False,False,False,False,False,13210,U,P,K,0.0
2025676,PH,FT,2,4,6,4,0,11,0,0,0,False,False,False,False,False,False,False,False,92050,N,S,C,0.0
2025968,SH,FO,5,0,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,74189,E,D,C,0.0
2025990,PH,FT,2,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,06027,P,Q,J,0.0
2026441,PH,HO,1,4,7,1,1,13,4,1,2,False,False,False,False,False,False,False,False,73065,G,H,C,0.0
2026552,PH,FO,1,4,3,4,0,6,1,0,0,False,False,False,False,False,False,False,False,66136,L,M,G,0.0
2027007,PH,FT,2,2,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,42115,E,D,J,0.0
2027185,PH,HO,1,2,7,4,0,18,0,3,6,True,False,False,False,False,False,False,False,13019,S,P,K,0.0
2027309,PH,FT,2,3,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,53119,B,B,E,0.0
2027352,PH,HO,1,4,4,4,0,8,1,1,3,False,False,False,False,False,False,False,True,62321,J,D,J,0.0
2027543,PH,FT,2,2,4,4,0,8,0,0,0,False,True,False,False,False,False,False,False,64122,D,M,L,0.0
2027884,PH,HT,2,1,3,4,0,14,0,6,1,False,False,False,False,False,False,False,True,55308,D,C,G,0.0
2027953,PH,HO,1,3,6,4,0,11,0,2,3,False,False,False,False,False,False,False,True,85004,C,B,H,0.0
